,store_name,street_address,city,state,zipcode,latitude,longitude,Location Type
0,McDonald's,260 Central Ave,Jersey City,NJ,7307,40.743629999999996,-74.05034,NY McD
1,McDonald's,197 12th Street,Jersey City,NJ,7310,40.72998,-74.04186999999999,NY McD
2,McDonald's,325 Grove Street,Jersey City,NJ,7302,40.7199,-74.04313,NY McD
3,McDonald's,30 Mall Drive West,Jersey City,NJ,7310,40.72692,-74.03775,NY McD
4,McDonald's,234 Washington Street,Hoboken,NJ,7030,40.71564,-74.03775,NY McD
5,McDonald's,160 Broadway,New York,NY,10038,40.709472,-74.010038,NY McD
6,McDonald's,208 Varick Street,New York,NY,10014,40.72887,-74.00496,NY McD
7,McDonald's,262 Canal Street,New York,NY,10013,40.7185138,-74.0011677,NY McD
8,McDonald's,136 W 3rd Street,New York,NY,10012,40.7307914,-74.0011149,NY McD
9,McDonald's,541 6th Ave,New York,NY,10011,40.7378967,-73.9968453,NY McD
10,McDonald's,335 8th Ave,New York,NY,10001,40.747569,-73.997087,NY McD
11,McDonald's,724 Broadway,New York,NY,10003,40.7291264,-73.9932642,NY McD
12,McDonald's,409 8th Ave,New York,NY,10001,40.7500797,-73.99537600000001,NY McD
13,McDonald's,151 W 34th Street,New York,NY,10001,40.7508025,-73.98948349999999,NY McD
14,McDonald's,566 7th Ave,New York,NY,10018,40.755236,-73.988011,NY McD
15,McDonald's,401 Park Ave S,New York,NY,10016,40.742974100000005,-73.98407519999999,NY McD
16,McDonald's,82 Court Street,Brooklyn,NY,11201,40.691426799999995,-73.99188690000001,NY McD
17,McDonald's,420 Fulton Street,Brooklyn,NY,11201,40.690753,-73.98629,NY McD
18,McDonald's,395 Flatbush Ave Ext,Brooklyn,NY,11201,40.688961,-73.9807948,NY McD
19,McDonald's,139 Flatbush Ave,Brooklyn,NY,11217,40.6845602,-73.97761120000001,NY McD
20,McDonald's,840 Atlantic Ave,Brooklyn,NY,11238,40.6813581,-73.96695559999999,NY McD
21,McDonald's,1380 Broadway,Brooklyn,NY,11221,40.6890828,-73.9218599,NY McD
22,McDonald's,700 Broadway,Brooklyn,NY,11206,40.70133320000001,-73.94346750000001,NY McD
23,McDonald's,267 Broadway,Brooklyn,NY,11211,40.708934899999996,-73.9588969,NY McD
24,McDonald's,652 Meeker Ave,Brooklyn,NY,11222,40.7220559,-73.9404627,NY McD
25,McDonald's,904 Manhattan Ave,Brooklyn,NY,11222,40.730403499999994,-73.9541026,NY McD
